OS Category,Fqdn
Windows,2sta-adds2.xxx.org
Windows,jjleks2hsfmtp.test2.org
Windows,jjleklr1hsfmtp.test2.org
Windows,jjlekpa1hsfmtp.test2.org
Windows,jjlekpa1jammtp.test2.org
Windows,aris01azemtp.test.com
Windows,ooptaqmdb01.test.com
Windows,ooptaqmsv01.test.com
Windows,ooptaqmsv02.test.com
Windows,ooptavprc02.test.com
Windows,ooptcorem01.test.com
Windows,ooptcorem02.test.com
Windows,ooptcorxp02.test.com
Windows,ooptcorxp03.test.com
Windows,ooptdtmrt01.test.com
Windows,ooptrptdm01.test.com
Windows,atloo.xxx.org
Windows,biee01statap.test.com
Windows,br-adds.xxx.org
Windows,btrust01azemtt.dog.schq.org
Windows,ams3webhsf2.test2.org
Windows,ams3webjam2.test2.org
Windows,amstst2webjam1.test2.org
Windows,cesspimstatapc.test.com
Windows,dbtools01stamtp.test.com
Windows,dcimapp2statap.test.com
Windows,encoappstabtp.test.com
Windows,eppmprod.test2.org
Windows,eppmtest.test2.org
Windows,ezmopxy01stabtz.some.company.org
Windows,sccc-awhsf-new.test2.org
Windows,sccc-awjam-new.test2.org
Windows,sccc-ctxsfhsf1.test2.org
Windows,sccc-sql001.test2.org
Windows,sccc-sql002.test2.org
Windows,sccc-sql501.test2.org
Windows,sccc-sql502.test2.org
Windows,maxvmdev11.test2.org
Windows,maxvmdev14.test2.org
Windows,maxvmdev18.test2.org
Windows,mnrgctmps_wja.test.com
Windows,sc2bpwrshells.test.com
Windows,sc2staars07a.test.com
Windows,sc2staars07b.test.com
Windows,sc2staaudit01.test.com
Windows,sc2stactxbl61.test.com
Windows,questmr01statap.test.com
Windows,lvmm03statad.test.com
Windows,lvmm04statad.test.com
Windows,appgwtestvm01.some.company.org
Windows,ooptaqmdb01.test.com
Windows,ooptaqmsv01.test.com
Windows,ooptaqmsv02.test.com
Windows,at2avmstatap.some.company.org
Windows,atloo.xxx.org
Windows,avlm05statad.test.com
Windows,bdtrust01statap.some.company.org
Windows,bdtrust01livtap.some.company.org
Windows,biee01statap.test.com
Windows,bowlinggreen.test.com
Windows,br-adds.xxx.org
Windows,brcctestwin2012
Windows,dirad-monitor1.bsc.scbsc.org
Windows,dirad-sql2.bsc.scbsc.org
Windows,datadc01azemtz.some.company.org
Windows,datadc02azemtz.some.company.org
Windows,isnotshd01azemtt.some.company.org
Windows,isnotshrd01azemtp.some.company.org
Windows,isnotshrd01azemtq.some.company.org
Windows,isnotshrd02azemtp.some.company.org
Windows,isnotshrd02azemtq.some.company.org
Windows,isnotweb01azemtp.some.company.org
Windows,isnotweb01azemtq.some.company.org
Windows,isnotweb01azemtt.some.company.org
Windows,isnotweb02azemtp.some.company.org
Windows,isnotweb02azemtq.some.company.org
Windows,lowcentral.dog.schq.org
Windows,mmgt01azescccp0.test.com
Windows,mmgt01azemtp0.test.com
Windows,mmgt01eazemtd.test.com
Windows,mmgt01eazemtp.test.com
Windows,mmgt02azemtp0.test.com
Windows,mmgt02eazemtd.test.com
Windows,mmgt02eazemtp.test.com
Windows,mmgt03eazemtd.test.com
Windows,mmgt03eazemtp.test.com
Windows,halocad01statap.test.com
Windows,harmon-adds.xxx.org
Windows,azemtd.test.com
Windows,webazemtd.test.com
Windows,we2azemtd.test.com
Windows,irvm01eazemtp.test.com
Windows,itsddev3jam.test2.org
Windows,ittest03livmtt.test.com
Windows,bimini.test2.org
Windows,kezava001stahqp.some.company.org
Windows,sc2bpwrs.test.com
Windows,sc2bscan.test.com
Windows,sc2sta365ch05.test.com
Windows,sc2sta365ch06.test.com
Windows,sc2staars07a.test.com
Windows,sc2staars07b.test.com
Windows,sc2sta01.test.com
Windows,sc2staavm01.test.com
Windows,sc2stabsc001.bsc.scbsc.org
Windows,sc2stactxap047.test.com
Windows,sc2stactxbl62.test.com
